"Coluna A","Coluna B","Coluna C"
475,972,650
361,682,300
559,611,218
499,799,233
957,177,185
961,466,304
973,375,678
618,957,132
738,871,784
493,216,410
227,101,116
613,978,241
572,916,996
483,952,747
569,920,619
160,197,335
407,436,520
477,103,606
620,355,373
570,342,552
649,762,755
625,874,488
621,603,138
449,747,322
973,552,926
489,991,107
940,806,985
567,399,753
664,331,290
281,317,584
119,873,418
561,215,870
848,495,410
360,475,917
870,227,922
210,441,459
886,839,954
793,380,912
981,763,497
649,863,201
601,221,299
817,766,190
955,677,496
139,714,927
341,945,635
342,944,316
870,743,957
253,889,646
903,934,557
603,853,189
729,336,820
584,725,353
712,943,961
138,449,742
148,235,229
381,351,889
102,718,823
177,674,675
733,957,575
655,148,858
287,116,787
888,335,122
505,651,667
250,738,164
425,145,405
592,569,837
216,822,963
981,541,360
738,738,149
999,388,676
423,203,114
565,821,653
335,723,322
508,511,578
907,727,652
374,110,861
164,583,600
544,687,891
574,706,567
802,946,980
753,218,850
972,751,995
698,306,894
190,716,864
480,295,863
705,449,727
456,994,986
475,937,343
241,240,874
521,781,458
178,168,152
788,441,586
847,684,704
953,602,188
764,678,332
423,580,613
938,810,539
443,721,683
463,236,509
526,620,477
